image_id,label
0,9
1,6
2,9
3,5
4,9
5,9
6,6
7,5
8,0
9,6
10,6
11,5
12,5
13,5
14,6
15,5
16,5
17,5
18,9
19,5
20,5
21,5
22,9
23,7
24,9
25,8
26,3
27,6
28,5
29,9
30,6
31,8
32,9
33,5
34,6
35,5
36,5
37,4
38,8
39,5
40,4
41,6
42,9
43,9
44,6
45,9
46,5
47,5
48,5
49,6
50,5
51,9
52,9
53,9
54,5
55,6
56,8
57,9
58,5
59,9
60,5
61,5
62,4
63,2
64,9
65,5
66,5
67,8
68,9
69,2
70,5
71,5
72,8
73,7
74,5
75,5
76,9
77,5
78,8
79,5
80,6
81,5
82,5
83,5
84,5
85,5
86,2
87,5
88,6
89,5
90,9
91,8
92,9
93,5
94,5
95,2
96,0
97,5
98,5
99,8
100,6
101,8
102,5
103,0
104,9
105,5
106,9
107,5
108,8
109,5
110,5
111,5
112,0
113,5
114,9
115,6
116,2
117,5
118,8
119,5
120,4
121,6
122,5
123,5
124,5
125,5
126,5
127,9
128,9
129,5
130,9
131,8
132,2
133,9
134,6
135,5
136,5
137,6
138,5
139,5
140,5
141,5
142,9
143,5
144,5
145,3
146,6
147,5
148,2
149,9
150,6
151,5
152,4
153,5
154,5
155,2
156,6
157,7
158,5
159,5
160,9
161,4
162,6
163,6
164,5
165,5
166,8
167,8
168,9
169,5
170,5
171,9
172,5
173,6
174,5
175,5
176,9
177,5
178,5
179,9
180,4
181,5
182,5
183,5
184,6
185,8
186,8
187,5
188,9
189,5
190,5
191,5
192,2
193,9
194,9
195,6
196,2
197,9
198,5
199,6
200,5
201,6
202,5
203,6
204,5
205,5
206,5
207,5
208,6
209,7
210,5
211,9
212,5
213,8
214,6
215,9
216,6
217,9
218,6
219,2
220,2
221,9
222,6
223,0
224,5
225,0
226,5
227,9
228,8
229,5
230,5
231,5
232,5
233,9
234,5
235,9
236,5
237,5
238,4
239,5
240,8
241,9
242,5
243,8
244,5
245,3
246,9
247,9
248,9
249,6
250,6
251,6
252,8
253,0
254,0
255,5
256,0
257,9
258,5
259,5
260,6
261,6
262,6
263,5
264,9
265,3
266,5
267,9
268,9
269,5
270,5
271,5
272,9
273,6
274,5
275,9
276,5
